Year,Element
1990,5059.848004
1991,5808.974002
1992,5132.431998
1993,5739.836005
1994,5973.032006
1995,6116.008006
1996,5837.947004
1997,5968.169
1998,6051.945003
1999,6272.902
2000,6625.65991
2001,6935.594938
2002,6874.694943
2003,6769.771949
2004,7116.97995
2005,7127.950949
2006,7268.186316
2007,7282.082552
2008,7064.685113
2009,7130.40346
2010,7192.398002
2011,7014.85381
2012,7130.946647
2013,7435.140353
2014,7493.665419
2015,7695.188722
2016,7871.931796
2017,7742.009408
2018,7833.595668
2019,7550.821826
