Year,Element,element_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2003,6404,-327.0,-102.0,-154.0,430.0,-739.0,-325.0,-600.0,3648.0,-795.0,-1375.0,1174.0,-2924.0,1052.0
2004,7536,1132.0,-327.0,-102.0,-154.0,430.0,-739.0,-325.0,-600.0,3648.0,-795.0,-1375.0,1174.0,-2924.0
2005,9159,1623.0,1132.0,-327.0,-102.0,-154.0,430.0,-739.0,-325.0,-600.0,3648.0,-795.0,-1375.0,1174.0
2006,7483,-1676.0,1623.0,1132.0,-327.0,-102.0,-154.0,430.0,-739.0,-325.0,-600.0,3648.0,-795.0,-1375.0
2007,7777,294.0,-1676.0,1623.0,1132.0,-327.0,-102.0,-154.0,430.0,-739.0,-325.0,-600.0,3648.0,-795.0
2008,9612,1835.0,294.0,-1676.0,1623.0,1132.0,-327.0,-102.0,-154.0,430.0,-739.0,-325.0,-600.0,3648.0
2009,11380,1768.0,1835.0,294.0,-1676.0,1623.0,1132.0,-327.0,-102.0,-154.0,430.0,-739.0,-325.0,-600.0
2010,9129,-2251.0,1768.0,1835.0,294.0,-1676.0,1623.0,1132.0,-327.0,-102.0,-154.0,430.0,-739.0,-325.0
2011,6889,-2240.0,-2251.0,1768.0,1835.0,294.0,-1676.0,1623.0,1132.0,-327.0,-102.0,-154.0,430.0,-739.0
2012,13070,6181.0,-2240.0,-2251.0,1768.0,1835.0,294.0,-1676.0,1623.0,1132.0,-327.0,-102.0,-154.0,430.0
2013,12901,-169.0,6181.0,-2240.0,-2251.0,1768.0,1835.0,294.0,-1676.0,1623.0,1132.0,-327.0,-102.0,-154.0
2014,10946,-1955.0,-169.0,6181.0,-2240.0,-2251.0,1768.0,1835.0,294.0,-1676.0,1623.0,1132.0,-327.0,-102.0
2015,12585,1639.0,-1955.0,-169.0,6181.0,-2240.0,-2251.0,1768.0,1835.0,294.0,-1676.0,1623.0,1132.0,-327.0
2016,11541,-1044.0,1639.0,-1955.0,-169.0,6181.0,-2240.0,-2251.0,1768.0,1835.0,294.0,-1676.0,1623.0,1132.0
2017,10852,-689.0,-1044.0,1639.0,-1955.0,-169.0,6181.0,-2240.0,-2251.0,1768.0,1835.0,294.0,-1676.0,1623.0
2018,9618,-1234.0,-689.0,-1044.0,1639.0,-1955.0,-169.0,6181.0,-2240.0,-2251.0,1768.0,1835.0,294.0,-1676.0
2019,11433,1815.0,-1234.0,-689.0,-1044.0,1639.0,-1955.0,-169.0,6181.0,-2240.0,-2251.0,1768.0,1835.0,294.0
